Date,Open,High,Low,Close,Adj_Close,Volume,Day
2015-02-13,191.720001,192.440002,191.460007,192.389999,164.385818,1073100,351
2015-02-17,192.070007,192.880005,191.789993,192.699997,164.650635,1700400,352
2015-02-18,192.279999,192.779999,192,192.740005,164.68486,1863000,353
2015-02-19,192.089996,192.970001,191.889999,192.610001,164.573776,1017600,354
2015-02-20,192.130005,193.820007,191.449997,193.779999,165.573471,1374000,355
2015-02-23,193.490005,193.729996,193.029999,193.729996,165.530777,1497700,356
2015-02-24,193.690002,194.490005,193.429993,194.300003,166.017792,1244200,357
2015-02-25,194.139999,194.649994,193.710007,194.089996,165.838394,1983600,358
2015-02-26,193.990005,194.149994,193.210007,193.869995,165.650345,994200,359
2015-02-27,193.770004,194.050003,193.190002,193.199997,165.077866,966600,360
2015-03-02,193.309998,194.470001,193.300003,194.470001,166.163025,1016600,361
2015-03-03,193.960007,194.020004,192.690002,193.639999,165.453857,1388100,362
2015-03-04,193,193.050003,191.729996,192.830002,164.761795,1497500,363
2015-03-05,193.149994,193.330002,192.479996,193.039993,164.941147,1135800,364
2015-03-06,192,192.550003,189.940002,190.309998,162.608536,1815600,365
2015-03-09,190.520004,191.470001,190.419998,191.119995,163.300674,1132000,366
2015-03-10,189.570007,189.630005,187.970001,187.979996,160.617706,2390500,367
2015-03-11,188.259995,188.470001,187.470001,187.539993,160.24176,1857500,368
2015-03-12,188.210007,190,188.199997,189.960007,162.309509,2646900,369
2015-03-13,189.679993,189.789993,187.619995,188.800003,161.318375,1792200,370
2015-03-16,189.589996,191.380005,189.550003,191.380005,163.522827,1054700,371
2015-03-17,190.479996,191.130005,189.830002,190.729996,162.967453,1460900,372
2015-03-18,190.169998,193.759995,189.490005,193,164.907043,2287400,373
2015-03-19,192.559998,192.850006,191.75,192.110001,164.14653,1372000,374
2015-03-20,193.190002,194.389999,193.130005,193.850006,165.633286,1350100,375
2015-03-23,192.850006,193.490005,192.490005,192.520004,165.336166,707100,376
2015-03-24,192.380005,192.850006,191.330002,191.399994,164.374298,1587700,377
2015-03-25,191.639999,191.869995,188.570007,188.610001,161.978287,1216700,378
2015-03-26,187.880005,189.149994,187.149994,188.139999,161.57457,1906200,379
2015-03-27,188.039993,188.779999,187.830002,188.529999,161.909515,1837000,380
2015-03-30,189.75,191.190002,189.720001,190.880005,163.927704,1414700,381
2015-03-31,189.979996,191.779999,189.169998,189.199997,162.484924,2765200,382
2015-04-01,189.169998,189.169998,187.470001,188.589996,161.961044,3379900,383
2015-04-02,188.470001,189.690002,188.270004,189.149994,162.442017,1803500,384
2015-04-06,188.229996,191.039993,188.089996,190.479996,163.584183,1242500,385
2015-04-07,190.479996,191.330002,189.970001,189.970001,163.146194,1372300,386
2015-04-08,190.240005,191.059998,189.809998,190.660004,163.738754,1412100,387
2015-04-09,190.449997,191.710007,189.960007,191.490005,164.451538,794800,388
2015-04-10,191.740005,192.570007,191.539993,192.539993,165.353333,1056900,389
2015-04-13,192.360001,193.039993,191.600006,191.669998,164.606171,1227800,390
2015-04-14,191.419998,192.220001,190.770004,192.020004,164.906754,2647800,391
